task,epsilon,split,metric,score
cola,10,validation,mcc,0.0
cola,10,test,mcc,0.0
cola,50,validation,mcc,0.0
cola,50,test,mcc,0.0
cola,250,validation,mcc,0.0
cola,250,test,mcc,0.0
sst2,10,validation,acc,0.515
sst2,10,test,acc,1.0
sst2,50,validation,acc,0.515
sst2,50,test,acc,1.0
sst2,250,validation,acc,0.515
sst2,250,test,acc,1.0
mrpc,10,validation,f1_acc,0.538993
mrpc,10,test,f1_acc,0.5322
mrpc,50,validation,f1_acc,0.538993
mrpc,50,test,f1_acc,0.5322
mrpc,250,validation,f1_acc,0.538993
mrpc,250,test,f1_acc,0.5322
rte,10,validation,acc,0.7
rte,10,test,acc,1.0
rte,50,validation,acc,0.7
rte,50,test,acc,1.0
rte,250,validation,acc,0.7
rte,250,test,acc,1.0
yelp10,10,validation,acc,0.2
yelp10,10,test,acc,0.3
yelp10,50,validation,acc,0.2
yelp10,50,test,acc,0.3
yelp10,250,validation,acc,0.2
yelp10,250,test,acc,0.3
IMDB_reviews,10,test,acc,1.0
IMDB_reviews,50,test,acc,1.0
mini_yelp,10,test,acc,1.0
mini_yelp,50,test,acc,1.0
name_redacted_bios,10,test,acc,0.2
name_redacted_bios,50,test,acc,0.2
